Time,Host,Schema,Table Name,Number of Rows,Data Size,Index Size,Something
05/08/2012 12:59,vserver0124,hack,table1,2,16384,100,5000
05/08/2012 13:00,vserver0124,hack,table1,3,16384,100,5005
05/08/2012 13:01,vserver0124,hack,table1,4,16384,100,5020
05/08/2012 13:02,vserver0124,hack,table1,5,16384,100,5000
05/08/2012 13:03,vserver0124,hack,table1,6,16384,100,5005
05/08/2012 13:04,vserver0124,hack,table1,7,16384,100,5020
05/08/2012 13:05,vserver0124,hack,table1,8,16384,100,5000
05/08/2012 13:06,vserver0124,hack,table1,9,16384,100,5005
05/08/2012 13:07,vserver0124,hack,table1,10,16384,100,5020
05/08/2012 13:08,vserver0124,hack,table1,11,16384,100,5013.333333
05/08/2012 13:09,vserver0124,hack,table1,12,16384,100,5014.333333
05/08/2012 13:10,vserver0124,hack,table1,13,16384,100,5015.333333
05/08/2012 13:11,vserver0124,hack,table1,14,16384,100,5016.333333
05/08/2012 13:12,vserver0124,hack,table1,15,16384,100,5017.333333
05/08/2012 13:13,vserver0124,hack,table1,16,16384,100,5018.333333
05/08/2012 13:14,vserver0124,hack,table1,17,16384,100,5019.333333
05/08/2012 13:15,vserver0124,hack,table1,18,16384,100,5020.333333
05/08/2012 13:16,vserver0124,hack,table1,19,16384,100,5021.333333
05/08/2012 13:17,vserver0124,hack,table1,20,16384,100,5022.333333
05/08/2012 13:18,vserver0124,hack,table1,21,16384,100,5023.333333
05/08/2012 13:19,vserver0124,hack,table1,22,16384,100,5024.333333
05/08/2012 13:20,vserver0124,hack,table1,23,16384,100,5025.333333
05/08/2012 13:21,vserver0124,hack,table1,24,16384,100,5026.333333
05/08/2012 13:22,vserver0124,hack,table1,25,16384,100,5027.333333
05/08/2012 13:23,vserver0124,hack,table1,26,16384,100,5028.333333
05/08/2012 13:24,vserver0124,hack,table1,27,16384,100,5029.333333
05/08/2012 13:25,vserver0124,hack,table1,28,16384,100,5030.333333
05/08/2012 13:26,vserver0124,hack,table1,29,16384,100,5031.333333
05/08/2012 13:27,vserver0124,hack,table1,30,16384,100,5032.333333
05/08/2012 13:28,vserver0124,hack,table1,31,16384,100,5033.333333
05/08/2012 13:29,vserver0124,hack,table1,32,16384,100,5034.333333
05/08/2012 13:30,vserver0124,hack,table1,33,16384,100,5035.333333
05/08/2012 13:31,vserver0124,hack,table1,34,16384,100,5036.333333
05/08/2012 13:32,vserver0124,hack,table1,35,16384,100,5037.333333
05/08/2012 13:33,vserver0124,hack,table1,36,16384,100,5038.333333
05/08/2012 13:34,vserver0124,hack,table1,37,16384,100,5039.333333
05/08/2012 13:35,vserver0124,hack,table1,38,16384,100,5040.333333
05/08/2012 13:36,vserver0124,hack,table1,39,16384,100,5041.333333
05/08/2012 13:37,vserver0124,hack,table1,40,16384,100,5042.333333
05/08/2012 13:38,vserver0124,hack,table1,41,16384,100,5043.333333
05/08/2012 13:39,vserver0124,hack,table1,42,16384,100,5044.333333
05/08/2012 13:40,vserver0124,hack,table1,43,16384,100,5045.333333
05/08/2012 13:41,vserver0124,hack,table1,44,16384,100,5046.333333
05/08/2012 13:42,vserver0124,hack,table1,45,16384,100,5047.333333
05/08/2012 13:43,vserver0124,hack,table1,46,16384,100,5048.333333
05/08/2012 13:44,vserver0124,hack,table1,47,16384,100,5049.333333
05/08/2012 13:45,vserver0124,hack,table1,48,16384,100,5050.333333
05/08/2012 13:46,vserver0124,hack,table1,49,16384,100,5051.333333
05/08/2012 13:47,vserver0124,hack,table1,50,16384,100,5052.333333
05/08/2012 13:48,vserver0124,hack,table1,51,16384,100,5053.333333
05/08/2012 13:49,vserver0124,hack,table1,52,16384,100,5054.333333
05/08/2012 13:50,vserver0124,hack,table1,53,16384,100,5055.333333
05/08/2012 13:51,vserver0124,hack,table1,54,16384,100,5056.333333
05/08/2012 13:52,vserver0124,hack,table1,55,16384,100,5057.333333
05/08/2012 13:53,vserver0124,hack,table1,56,16384,100,5058.333333
05/08/2012 13:54,vserver0124,hack,table1,57,16384,100,5059.333333
05/08/2012 13:55,vserver0124,hack,table1,58,16384,100,5060.333333
05/08/2012 13:56,vserver0124,hack,table1,59,16384,100,5061.333333
05/08/2012 13:57,vserver0124,hack,table1,60,16384,100,5062.333333
05/08/2012 13:58,vserver0124,hack,table1,61,16384,100,5063.333333
05/08/2012 13:59,vserver0124,hack,table1,62,16384,100,5064.333333
05/08/2012 14:00,vserver0124,hack,table1,63,16384,100,5065.333333
05/08/2012 14:01,vserver0124,hack,table1,64,16384,100,5066.333333
05/08/2012 14:02,vserver0124,hack,table1,65,16384,100,5067.333333
05/08/2012 14:03,vserver0124,hack,table1,66,16384,100,5068.333333
05/08/2012 14:04,vserver0124,hack,table1,67,16384,100,5069.333333
05/08/2012 14:05,vserver0124,hack,table1,68,16384,100,5070.333333
05/08/2012 14:06,vserver0124,hack,table1,69,16416,100,5071.333333
05/08/2012 14:07,vserver0124,hack,table1,70,16448,100,5072.333333
05/08/2012 14:08,vserver0124,hack,table1,71,16480,104,5073.333333
05/08/2012 14:09,vserver0124,hack,table1,72,16512,108,5074.333333
05/08/2012 14:10,vserver0124,hack,table1,73,16544,112,5075.333333
05/08/2012 14:11,vserver0124,hack,table1,74,16576,116,5076.333333
05/08/2012 14:12,vserver0124,hack,table1,75,16608,120,5077.333333
05/08/2012 14:13,vserver0124,hack,table1,76,16640,124,5078.333333
05/08/2012 14:14,vserver0124,hack,table1,77,16672,128,5079.333333
05/08/2012 14:15,vserver0124,hack,table1,78,16704,132,5080.333333
05/08/2012 14:16,vserver0124,hack,table1,79,16736,136,5081.333333
05/08/2012 14:17,vserver0124,hack,table1,80,16768,140,5082.333333
05/08/2012 14:18,vserver0124,hack,table1,81,16800,144,5083.333333
05/08/2012 14:19,vserver0124,hack,table1,82,16832,148,5084.333333
05/08/2012 14:20,vserver0124,hack,table1,83,16864,152,5085.333333
05/08/2012 14:21,vserver0124,hack,table1,84,16896,156,5086.333333
05/08/2012 14:22,vserver0124,hack,table1,85,16928,160,5087.333333
05/08/2012 14:23,vserver0124,hack,table1,86,16960,164,5088.333333
05/08/2012 14:24,vserver0124,hack,table1,87,16992,168,5089.333333
05/08/2012 14:25,vserver0124,hack,table1,88,17024,172,5090.333333
05/08/2012 14:26,vserver0124,hack,table1,89,17056,176,5091.333333
05/08/2012 14:27,vserver0124,hack,table1,90,17088,180,5092.333333
05/08/2012 14:28,vserver0124,hack,table1,91,17120,184,5093.333333
05/08/2012 14:29,vserver0124,hack,table1,92,17152,188,5094.333333
05/08/2012 14:30,vserver0124,hack,table1,93,17184,192,5095.333333
05/08/2012 14:31,vserver0124,hack,table1,94,17216,196,5096.333333
05/08/2012 14:32,vserver0124,hack,table1,95,17248,200,5097.333333
05/08/2012 14:33,vserver0124,hack,table1,96,17280,204,5098.333333
05/08/2012 14:34,vserver0124,hack,table1,97,17312,208,5099.333333
05/08/2012 14:35,vserver0124,hack,table1,98,17344,212,5100.333333
05/08/2012 14:36,vserver0124,hack,table1,99,17376,216,5101.333333
05/08/2012 14:37,vserver0124,hack,table1,100,17408,220,5102.333333
05/08/2012 14:38,vserver0124,hack,table1,101,17440,224,5103.333333
05/08/2012 14:38,vserver0124,hack,table1,102,17472,228,5104.333333
05/08/2012 14:39,vserver0124,hack,table1,103,17504,232,5105.333333
05/08/2012 14:40,vserver0124,hack,table1,104,17536,236,5106.333333
05/08/2012 14:41,vserver0124,hack,table1,105,17568,240,5107.333333
05/08/2012 14:42,vserver0124,hack,table1,106,17600,244,5108.333333
05/08/2012 14:43,vserver0124,hack,table1,107,17632,248,5109.333333
05/08/2012 14:44,vserver0124,hack,table1,108,17664,252,5110.333333
05/08/2012 14:45,vserver0124,hack,table1,109,17696,256,5111.333333
05/08/2012 14:46,vserver0124,hack,table1,110,17728,260,5112.333333
05/08/2012 14:47,vserver0124,hack,table1,111,17760,264,5113.333333
05/08/2012 14:48,vserver0124,hack,table1,112,17792,268,5114.333333
05/08/2012 14:49,vserver0124,hack,table1,113,17824,272,5115.333333
05/08/2012 14:50,vserver0124,hack,table1,114,17856,276,5116.333333
05/08/2012 14:51,vserver0124,hack,table1,115,17888,280,5117.333333
05/08/2012 14:52,vserver0124,hack,table1,116,17920,284,5118.333333
05/08/2012 14:53,vserver0124,hack,table1,117,17952,288,5119.333333
05/08/2012 14:54,vserver0124,hack,table1,118,17984,292,5120.333333
05/08/2012 14:55,vserver0124,hack,table1,119,18016,296,5121.333333
05/08/2012 14:56,vserver0124,hack,table1,120,18048,300,5122.333333
05/08/2012 14:57,vserver0124,hack,table1,121,18080,304,5123.333333
05/08/2012 14:58,vserver0124,hack,table1,122,18112,308,5124.333333
05/08/2012 14:59,vserver0124,hack,table1,123,18144,312,5125.333333
05/08/2012 15:00,vserver0124,hack,table1,124,18176,316,5126.333333
05/08/2012 15:01,vserver0124,hack,table1,125,18208,320,5127.333333
05/08/2012 15:02,vserver0124,hack,table1,126,18240,324,5128.333333
05/08/2012 15:03,vserver0124,hack,table1,127,18272,328,5129.333333
05/08/2012 15:04,vserver0124,hack,table1,128,18304,332,5130.333333
05/08/2012 15:05,vserver0124,hack,table1,129,18336,336,5131.333333
05/08/2012 15:06,vserver0124,hack,table1,130,18368,340,5132.333333
05/08/2012 15:07,vserver0124,hack,table1,131,18400,344,5133.333333
05/08/2012 15:08,vserver0124,hack,table1,132,18432,348,5134.333333
05/08/2012 15:09,vserver0124,hack,table1,133,18464,352,5135.333333
05/08/2012 15:10,vserver0124,hack,table1,134,18496,356,5136.333333
05/08/2012 15:11,vserver0124,hack,table1,135,18528,360,5137.333333
05/08/2012 15:12,vserver0124,hack,table1,136,18560,364,5138.333333
05/08/2012 15:13,vserver0124,hack,table1,137,18592,368,5139.333333
05/08/2012 15:14,vserver0124,hack,table1,138,18624,372,5140.333333
05/08/2012 15:15,vserver0124,hack,table1,139,18656,376,5141.333333
05/08/2012 15:16,vserver0124,hack,table1,140,18688,380,5142.333333
05/08/2012 15:17,vserver0124,hack,table1,141,18720,384,5143.333333
05/08/2012 15:18,vserver0124,hack,table1,142,18752,388,5144.333333
05/08/2012 15:19,vserver0124,hack,table1,143,18784,392,5145.333333
05/08/2012 15:20,vserver0124,hack,table1,144,18816,396,5146.333333
05/08/2012 15:21,vserver0124,hack,table1,145,18848,400,5147.333333
05/08/2012 15:22,vserver0124,hack,table1,146,18880,404,5148.333333
05/08/2012 15:23,vserver0124,hack,table1,147,18912,408,5149.333333
05/08/2012 15:24,vserver0124,hack,table1,148,18944,412,5150.333333
05/08/2012 15:25,vserver0124,hack,table1,149,18976,416,5151.333333
05/08/2012 15:26,vserver0124,hack,table1,150,19008,420,5152.333333
05/08/2012 15:27,vserver0124,hack,table1,151,19040,424,5153.333333
05/08/2012 15:28,vserver0124,hack,table1,152,19072,428,5154.333333
05/08/2012 15:29,vserver0124,hack,table1,153,19104,432,5155.333333
05/08/2012 15:30,vserver0124,hack,table1,154,19136,700,5156.333333
05/08/2012 15:31,vserver0124,hack,table1,155,19168,440,5157.333333
05/08/2012 15:32,vserver0124,hack,table1,156,19200,444,5158.333333
05/08/2012 15:33,server0124,hack,table1,157,19232,448,5159.333333
05/08/2012 15:34,server0124,hack,table1,158,19264,550,5160.333333
05/08/2012 15:35,server0124,hack,table1,159,19296,620,5161.333333
05/08/2012 15:36,server0124,hack,table1,160,19328,630,5162.333333
05/08/2012 15:37,server0124,hack,table1,161,19360,605,5163.333333
05/08/2012 15:38,server0124,hack,table1,162,19392,468,5164.333333
05/08/2012 15:39,server0124,hack,table1,163,19424,472,5165.333333
05/08/2012 15:40,server0124,hack,table1,164,19456,476,5166.333333
05/08/2012 15:45,server0124,hack,table1,165,19488,480,5167.333333
