Time,Host,Schema,Table Name,Number of Rows,Data Size,Index Size
05/08/2012 12:59,vserver0124,hack,table1,2,16384,100
05/08/2012 13:00,vserver0124,hack,table1,3,16384,100
05/08/2012 13:01,vserver0124,hack,table1,4,16384,100
05/08/2012 13:02,vserver0124,hack,table1,5,16384,100
05/08/2012 13:03,vserver0124,hack,table1,6,16384,100
05/08/2012 13:04,vserver0124,hack,table1,7,16384,100
05/08/2012 13:05,vserver0124,hack,table1,8,16384,100
05/08/2012 13:06,vserver0124,hack,table1,9,16384,100
05/08/2012 13:07,vserver0124,hack,table1,10,16384,100
05/08/2012 13:08,vserver0124,hack,table1,11,16384,100
05/08/2012 13:09,vserver0124,hack,table1,12,16384,100
05/08/2012 13:10,vserver0124,hack,table1,13,16384,100
05/08/2012 13:11,vserver0124,hack,table1,14,16384,100
05/08/2012 13:12,vserver0124,hack,table1,15,16384,100
05/08/2012 13:13,vserver0124,hack,table1,16,16384,100
05/08/2012 13:14,vserver0124,hack,table1,17,16384,100
05/08/2012 13:15,vserver0124,hack,table1,18,16384,100
05/08/2012 13:16,vserver0124,hack,table1,19,16384,100
05/08/2012 13:17,vserver0124,hack,table1,20,16384,100
05/08/2012 13:18,vserver0124,hack,table1,21,16384,100
05/08/2012 13:19,vserver0124,hack,table1,22,16384,100
05/08/2012 13:20,vserver0124,hack,table1,23,16384,100
05/08/2012 13:21,vserver0124,hack,table1,24,16384,100
05/08/2012 13:22,vserver0124,hack,table1,25,16384,100
05/08/2012 13:23,vserver0124,hack,table1,26,16384,100
05/08/2012 13:24,vserver0124,hack,table1,27,16384,100
05/08/2012 13:25,vserver0124,hack,table1,28,16384,100
05/08/2012 13:26,vserver0124,hack,table1,29,16384,100
05/08/2012 13:27,vserver0124,hack,table1,30,16384,100
05/08/2012 13:28,vserver0124,hack,table1,31,16384,100
05/08/2012 13:29,vserver0124,hack,table1,32,16384,100
05/08/2012 13:30,vserver0124,hack,table1,33,16384,100
05/08/2012 13:31,vserver0124,hack,table1,34,16384,100
05/08/2012 13:32,vserver0124,hack,table1,35,16384,100
05/08/2012 13:33,vserver0124,hack,table1,36,16384,100
05/08/2012 13:34,vserver0124,hack,table1,37,16384,100
05/08/2012 13:35,vserver0124,hack,table1,38,16384,100
05/08/2012 13:36,vserver0124,hack,table1,39,16384,100
05/08/2012 13:37,vserver0124,hack,table1,40,16384,100
05/08/2012 13:38,vserver0124,hack,table1,41,16384,100
05/08/2012 13:39,vserver0124,hack,table1,42,16384,100
05/08/2012 13:40,vserver0124,hack,table1,43,16384,100
05/08/2012 13:41,vserver0124,hack,table1,44,16384,100
05/08/2012 13:42,vserver0124,hack,table1,45,16384,100
05/08/2012 13:43,vserver0124,hack,table1,46,16384,100
05/08/2012 13:44,vserver0124,hack,table1,47,16384,100
05/08/2012 13:45,vserver0124,hack,table1,48,16384,100
05/08/2012 13:46,vserver0124,hack,table1,49,16384,100
05/08/2012 13:47,vserver0124,hack,table1,50,16384,100
05/08/2012 13:48,vserver0124,hack,table1,51,16384,100
05/08/2012 13:49,vserver0124,hack,table1,52,16384,100
05/08/2012 13:50,vserver0124,hack,table1,53,16384,100
05/08/2012 13:51,vserver0124,hack,table1,54,16384,100
05/08/2012 13:52,vserver0124,hack,table1,55,16384,100
05/08/2012 13:53,vserver0124,hack,table1,56,16384,100
05/08/2012 13:54,vserver0124,hack,table1,57,16384,100
05/08/2012 13:55,vserver0124,hack,table1,58,16384,100
05/08/2012 13:56,vserver0124,hack,table1,59,16384,100
05/08/2012 13:57,vserver0124,hack,table1,60,16384,100
05/08/2012 13:58,vserver0124,hack,table1,61,16384,100
05/08/2012 13:59,vserver0124,hack,table1,62,16384,100
05/08/2012 14:00,vserver0124,hack,table1,63,16384,100
05/08/2012 14:01,vserver0124,hack,table1,64,16384,100
05/08/2012 14:02,vserver0124,hack,table1,65,16384,100
05/08/2012 14:03,vserver0124,hack,table1,66,16384,100
05/08/2012 14:04,vserver0124,hack,table1,67,16384,100
05/08/2012 14:05,vserver0124,hack,table1,68,16384,100
05/08/2012 14:06,vserver0124,hack,table1,69,16416,100
05/08/2012 14:07,vserver0124,hack,table1,70,16448,100
05/08/2012 14:08,vserver0124,hack,table1,71,16480,104
05/08/2012 14:09,vserver0124,hack,table1,72,16512,108
05/08/2012 14:10,vserver0124,hack,table1,73,16544,112
05/08/2012 14:11,vserver0124,hack,table1,74,16576,116
05/08/2012 14:12,vserver0124,hack,table1,75,16608,120
05/08/2012 14:13,vserver0124,hack,table1,76,16640,124
05/08/2012 14:14,vserver0124,hack,table1,77,16672,128
05/08/2012 14:15,vserver0124,hack,table1,78,16704,132
05/08/2012 14:16,vserver0124,hack,table1,79,16736,136
05/08/2012 14:17,vserver0124,hack,table1,80,16768,140
05/08/2012 14:18,vserver0124,hack,table1,81,16800,144
05/08/2012 14:19,vserver0124,hack,table1,82,16832,148
05/08/2012 14:20,vserver0124,hack,table1,83,16864,152
05/08/2012 14:21,vserver0124,hack,table1,84,16896,156
05/08/2012 14:22,vserver0124,hack,table1,85,16928,160
05/08/2012 14:23,vserver0124,hack,table1,86,16960,164
05/08/2012 14:24,vserver0124,hack,table1,87,16992,168
05/08/2012 14:25,vserver0124,hack,table1,88,17024,172
05/08/2012 14:26,vserver0124,hack,table1,89,17056,176
05/08/2012 14:27,vserver0124,hack,table1,90,17088,180
05/08/2012 14:28,vserver0124,hack,table1,91,17120,184
05/08/2012 14:29,vserver0124,hack,table1,92,17152,188
05/08/2012 14:30,vserver0124,hack,table1,93,17184,192
05/08/2012 14:31,vserver0124,hack,table1,94,17216,196
05/08/2012 14:32,vserver0124,hack,table1,95,17248,200
05/08/2012 14:33,vserver0124,hack,table1,96,17280,204
05/08/2012 14:34,vserver0124,hack,table1,97,17312,208
05/08/2012 14:35,vserver0124,hack,table1,98,17344,212
05/08/2012 14:36,vserver0124,hack,table1,99,17376,216
05/08/2012 14:37,vserver0124,hack,table1,100,17408,220
05/08/2012 14:38,vserver0124,hack,table1,101,17440,224
05/08/2012 14:38,vserver0124,hack,table1,102,17472,228
05/08/2012 14:39,vserver0124,hack,table1,103,17504,232
05/08/2012 14:40,vserver0124,hack,table1,104,17536,236
05/08/2012 14:41,vserver0124,hack,table1,105,17568,240
05/08/2012 14:42,vserver0124,hack,table1,106,17600,244
05/08/2012 14:43,vserver0124,hack,table1,107,17632,248
05/08/2012 14:44,vserver0124,hack,table1,108,17664,252
05/08/2012 14:45,vserver0124,hack,table1,109,17696,256
05/08/2012 14:46,vserver0124,hack,table1,110,17728,260
05/08/2012 14:47,vserver0124,hack,table1,111,17760,264
05/08/2012 14:48,vserver0124,hack,table1,112,17792,268
05/08/2012 14:49,vserver0124,hack,table1,113,17824,272
05/08/2012 14:50,vserver0124,hack,table1,114,17856,276
