Time,Host,Schema,Table Name,Number of Rows,Some2,Data Size,Index Size,Something,Some3,
05/08/2012 12:59,vserver0124,hack,table1,320,17500,16384,100,5160.821966,2679.448077,59.44807685
05/08/2012 13:00,vserver0124,hack,table1,330,17488,16384,100,5115.533235,2711.627311,81.62731086
05/08/2012 13:01,vserver0124,hack,table1,340,17438.39989,16384,100,5058.637046,2735.605566,95.60556573
05/08/2012 13:02,vserver0124,hack,table1,350,17388.89969,16384,100,4995.849677,2749.978466,99.97846621
05/08/2012 13:03,vserver0124,hack,table1,360,17339.49933,16384,100,4933.479285,2754.306673,94.30667323
05/08/2012 13:04,vserver0124,hack,table1,370,17290.19875,16384,100,4877.792134,2749.160024,79.16002372
05/08/2012 13:05,vserver0124,hack,table1,380,17240.9979,16384,100,4834.383032,2736.06028,56.06027988
05/08/2012 13:06,vserver0124,hack,table1,390,17191.89669,16384,100,4807.61323,2717.32824,27.32823994
05/08/2012 13:07,vserver0124,hack,table1,400,17142.89502,16384,100,4800.172252,2695.850571,-4.14942917
05/08/2012 13:08,vserver0124,hack,table1,410,17093.9928,16384,100,4812.807681,2674.789789,-35.21021107
05/08/2012 13:09,vserver0124,hack,table1,420,17045.18993,16384,100,4844.250055,2657.266527,-62.73347344
05/08/2012 13:10,vserver0124,hack,table1,430,16996.48627,16384,100,4891.340404,2646.046007,-83.95399349
05/08/2012 13:11,vserver0124,hack,table1,440,16947.8817,16384,100,4949.347626,2643.260224,-96.73977593
05/08/2012 13:12,vserver0124,hack,table1,450,16899.37608,16384,100,5012.44382,2650.193749,-99.8062515
05/08/2012 13:13,vserver0124,hack,table1,460,16850.96926,16384,100,5074.289801,2667.154664,-92.84533578
05/08/2012 13:14,vserver0124,hack,table1,470,16802.66108,16384,100,5128.671992,2693.443618,-76.55638201
05/08/2012 13:15,vserver0124,hack,table1,480,16754.45138,16384,100,5170.126692,2727.424082,-52.57591807
05/08/2012 13:16,vserver0124,hack,table1,490,16706.33997,16384,100,5194.489007,2766.686773,-23.31322687
05/08/2012 13:17,vserver0124,hack,table1,500,16658.32666,16384,100,5199.31129,2808.291711,8.291710873
05/08/2012 13:18,vserver0124,hack,table1,510,16610.41126,16384,100,5184.109052,2849.063592,39.06359229
05/08/2012 13:19,vserver0124,hack,table1,520,16562.59356,16384,100,5150.409641,2885.91081,65.91081049
05/08/2012 13:20,vserver0124,hack,table1,530,16514.87333,16384,100,5101.598789,2916.136064,86.13606385
05/08/2012 13:21,vserver0124,hack,table1,540,16467.25036,16384,100,5042.580452,2937.70735,97.70735012
05/08/2012 13:22,vserver0124,hack,table1,550,16419.7244,16384,100,4979.284118,2949.462119,99.46211872
05/08/2012 13:23,vserver0124,hack,table1,560,16372.2952,16384,100,4918.069079,2951.224071,91.22407056
05/08/2012 13:24,vserver0124,hack,table1,570,16324.96252,16384,100,4865.085522,2943.820871,73.82087055
05/08/2012 13:25,vserver0124,hack,table1,580,16277.72608,16384,100,4825.65663,2929.000993,49.0009933
05/08/2012 13:26,vserver0124,hack,table1,590,16230.5856,16384,100,4803.743767,2909.258056,19.25805636
05/08/2012 13:27,vserver0124,hack,table1,600,16183.5408,16384,100,4801.548486,2887.58029,-12.41970996
05/08/2012 13:28,vserver0124,hack,table1,610,16136.59139,16384,100,4819.291346,2867.150314,-42.84968578
05/08/2012 13:29,vserver0124,hack,table1,620,16089.73705,16384,100,4855.189745,2851.025385,-68.97461498
05/08/2012 13:30,vserver0124,hack,table1,630,16042.97748,16384,100,4905.637023,2841.830237,-88.16976329
05/08/2012 13:31,vserver0124,hack,table1,640,15996.31235,16384,100,4965.564815,2841.493378,-98.50662164
05/08/2012 13:32,vserver0124,hack,table1,650,15949.74133,16384,100,5028.95226,2851.053339,-98.94666066
05/08/2012 13:33,vserver0124,hack,table1,660,15903.26407,16384,100,5089.430914,2870.55433,-89.44567024
05/08/2012 13:34,vserver0124,hack,table1,670,15856.88023,16384,100,5140.924571,2899.041799,-70.95820132
05/08/2012 13:35,vserver0124,hack,table1,680,15810.58943,16384,100,5178.259738,2934.658337,-45.34166343
05/08/2012 13:36,vserver0124,hack,table1,690,15764.39132,16384,100,5197.685405,2974.830287,-15.16971349
05/08/2012 13:37,vserver0124,hack,table1,700,15718.2855,16384,100,5197.249901,3016.526316,16.52631586
05/08/2012 13:38,vserver0124,hack,table1,710,15672.27159,16384,100,5176.996983,3056.56197,46.5619699
05/08/2012 13:39,vserver0124,hack,table1,720,15626.3492,16384,100,5138.96143,3091.919609,71.91960945
05/08/2012 13:40,vserver0124,hack,table1,730,15580.51791,16384,100,5086.964622,3120.051589,90.05158873
05/08/2012 13:41,vserver0124,hack,table1,740,15534.7773,16384,100,5026.230602,3139.136214,99.13621374
05/08/2012 13:42,vserver0124,hack,table1,750,15489.12696,16384,100,4962.861232,3148.260765,98.26076519
05/08/2012 13:43,vserver0124,hack,table1,760,15443.56644,16384,100,4903.22314,3147.513198,87.51319815
05/08/2012 13:44,vserver0124,hack,table1,770,15398.0953,16384,100,4853.308081,3137.973305,67.9733053
05/08/2012 13:45,vserver0124,hack,table1,780,15352.71309,16384,100,4818.130949,3121.604232,41.60423173
05/08/2012 13:46,vserver0124,hack,table1,790,15307.41935,16384,100,4801.225941,3101.055241,11.05524051
05/08/2012 13:47,vserver0124,hack,table1,800,15262.21361,16384,100,4804.291478,3079.395545,-20.60445489
05/08/2012 13:48,vserver0124,hack,table1,810,15217.09538,16384,100,4827.01957,3059.80595,-50.1940502
05/08/2012 13:49,vserver0124,hack,table1,820,15172.06418,16384,100,4867.126758,3045.259279,-74.7407211
05/08/2012 13:50,vserver0124,hack,table1,830,15127.11951,16384,100,4920.583531,3038.221701,-91.77829868
05/08/2012 13:51,vserver0124,hack,table1,840,15082.26087,16384,100,4982.019163,3040.404958,-99.59504191
05/08/2012 13:52,vserver0124,hack,table1,850,15037.48775,16384,100,5045.261304,3052.594386,-97.40561378
05/08/2012 13:53,vserver0124,hack,table1,860,14992.79961,16384,100,5103.956106,3074.570017,-85.42998299
05/08/2012 13:54,vserver0124,hack,table1,870,14948.19593,16384,100,5152.206587,3105.128676,-64.87132405
05/08/2012 13:55,vserver0124,hack,table1,880,14903.67617,16384,100,5185.165091,3142.204864,-37.79513599
05/08/2012 13:56,vserver0124,hack,table1,890,14859.23978,16384,100,5199.520322,3183.078275,-6.921724691
05/08/2012 13:57,vserver0124,hack,table1,900,14814.8862,16384,100,5193.830032,3224.647102,24.64710238
05/08/2012 13:58,vserver0124,hack,table1,910,14770.61488,16384,100,5168.665916,3263.73967,53.73967034
05/08/2012 13:59,vserver0124,hack,table1,920,14726.42523,16384,100,5126.556177,3297.433091,77.43309051
05/08/2012 14:00,vserver0124,hack,table1,930,14682.31668,16384,100,5071.73152,3323.346919,93.34691886
05/08/2012 14:01,vserver0124,hack,table1,940,14638.28863,16384,100,5009.7001,3339.882316,99.88231584
05/08/2012 14:02,vserver0124,hack,table1,950,14594.34049,16384,100,4946.694124,3346.382679,96.38267945
05/08/2012 14:03,vserver0124,hack,table1,960,14550.47166,16384,100,4889.043714,3343.199613,83.19961315
05/08/2012 14:04,vserver0124,hack,table1,970,14506.68152,16384,100,4842.540923,3331.657601,61.65760076
05/08/2012 14:05,vserver0124,hack,table1,980,14462.96945,16384,100,4811.85782,3313.920937,33.92093744
05/08/2012 14:06,vserver0124,hack,table1,990,14419.33482,16416,100,4800.077093,3292.776286,2.776286072
05/08/2012 14:07,vserver0124,hack,table1,1000,14375.777,16448,100,4808.382334,3271.352705,-28.64729479
05/08/2012 14:08,vserver0124,hack,table1,1010,14332.29534,16480,104,4835.939128,3252.807277,-57.19272293
05/08/2012 14:09,vserver0124,hack,table1,1020,14288.88919,16512,108,4879.978883,3240.00792,-79.99208003
05/08/2012 14:10,vserver0124,hack,table1,1030,14245.55788,16544,112,4936.076988,3235.245253,-94.7547473
05/08/2012 14:11,vserver0124,hack,table1,1040,14202.30076,16576,116,4998.597347,3240.002459,-99.99754067
05/08/2012 14:12,vserver0124,hack,table1,1050,14159.11715,16608,120,5061.258628,3254.806276,-95.19372421
05/08/2012 14:13,vserver0124,hack,table1,1060,14116.00636,16640,124,5117.765342,3279.17407,-80.82593048
05/08/2012 14:14,vserver0124,hack,table1,1070,14072.96772,16672,128,5162.440341,3311.662329,-58.33767115
05/08/2012 14:15,vserver0124,hack,table1,1080,14030.00051,16704,132,5190.795192,3350.011691,-29.98830948
05/08/2012 14:16,vserver0124,hack,table1,1090,13987.10404,16736,136,5199.981122,3391.373935,1.37393475
05/08/2012 14:17,vserver0124,hack,table1,1100,13944.2776,16768,140,5189.075235,3432.598142,32.59814172
05/08/2012 14:18,vserver0124,hack,table1,1110,13901.52048,16800,144,5159.17323,3470.54726,60.54726003
05/08/2012 14:19,vserver0124,hack,table1,1120,13858.83193,16832,148,5113.279318,3502.413282,82.41328175
05/08/2012 14:20,vserver0124,hack,table1,1130,13816.21125,16864,152,5056.004395,3525.999359,95.99935897
05/08/2012 14:21,vserver0124,hack,table1,1140,13773.65768,16896,156,4993.102791,3539.940518,99.94051795
05/08/2012 14:22,vserver0124,hack,table1,1150,13731.17048,16928,160,4930.894139,3543.840796,93.84079608
05/08/2012 14:23,vserver0124,hack,table1,1160,13688.74891,16960,164,4875.628455,3538.313024,78.31302369
05/08/2012 14:24,vserver0124,hack,table1,1170,13646.3922,16992,168,4832.858201,3524.917254,54.91725386
05/08/2012 14:25,vserver0124,hack,table1,1180,13604.09959,17024,172,4806.880445,3506.004026,26.0040261
05/08/2012 14:26,vserver0124,hack,table1,1190,13561.8703,17056,176,4800.305134,3484.478211,-5.521788945
